"SEX","GEO","TIME","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"Females","European Union (15 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.7",""
"Females","European Union (15 countries)","2011","From 15 to 64 years","No response","Percentage","16.0",""
"Females","European Union (15 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","59.8",""
"Females","European Union (15 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","39.1",""
"Females","European Union (15 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.5",""
"Females","European Union (15 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.4",""
"Females","European Union (15 countries)","2012","From 15 to 64 years","No response","Percentage","16.3",""
"Females","European Union (15 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","59.9",""
"Females","European Union (15 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.4",""
"Females","European Union (15 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.2",""
"Females","European Union (15 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.5",""
"Females","European Union (15 countries)","2013","From 15 to 64 years","No response","Percentage","18.6",""
"Females","European Union (15 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","60.5",""
"Females","European Union (15 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.8","b"
"Females","European Union (15 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.6","b"
"Females","European Union (15 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.7","b"
"Females","European Union (15 countries)","2014","From 15 to 64 years","No response","Percentage","27.2","b"
"Females","European Union (15 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","61.2",""
"Females","European Union (15 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.0",""
"Females","European Union (15 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.0",""
"Females","European Union (15 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.1",""
"Females","European Union (15 countries)","2015","From 15 to 64 years","No response","Percentage","27.6",""
"Females","Euro area (19 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","54.4",""
"Females","Euro area (19 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.0",""
"Females","Euro area (19 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.3",""
"Females","Euro area (19 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.2",""
"Females","Euro area (19 countries)","2004","From 15 to 64 years","No response","Percentage","42.1",""
"Females","Euro area (19 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.5",""
"Females","Euro area (19 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.6","b"
"Females","Euro area (19 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.9","b"
"Females","Euro area (19 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.4","b"
"Females","Euro area (19 countries)","2005","From 15 to 64 years","No response","Percentage","15.9","b"
"Females","Euro area (19 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.7",""
"Females","Euro area (19 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.4",""
"Females","Euro area (19 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.1",""
"Females","Euro area (19 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.1",""
"Females","Euro area (19 countries)","2006","From 15 to 64 years","No response","Percentage","18.6",""
"Females","Euro area (19 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.8",""
"Females","Euro area (19 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","39.1",""
"Females","Euro area (19 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.1",""
"Females","Euro area (19 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.9",""
"Females","Euro area (19 countries)","2007","From 15 to 64 years","No response","Percentage","20.7",""
"Females","Euro area (19 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.6",""
"Females","Euro area (19 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","39.1",""
"Females","Euro area (19 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.7",""
"Females","Euro area (19 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.4",""
"Females","Euro area (19 countries)","2008","From 15 to 64 years","No response","Percentage","25.0",""
"Females","Euro area (19 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.1",""
"Females","Euro area (19 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.9",""
"Females","Euro area (19 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.1",""
"Females","Euro area (19 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.8",""
"Females","Euro area (19 countries)","2009","From 15 to 64 years","No response","Percentage","25.4",""
"Females","Euro area (19 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.0",""
"Females","Euro area (19 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.5",""
"Females","Euro area (19 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.7",""
"Females","Euro area (19 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.3",""
"Females","Euro area (19 countries)","2010","From 15 to 64 years","No response","Percentage","22.0",""
"Females","Euro area (19 countries)","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.2",""
"Females","Euro area (19 countries)","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.1",""
"Females","Euro area (19 countries)","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.5",""
"Females","Euro area (19 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.3",""
"Females","Euro area (19 countries)","2011","From 15 to 64 years","No response","Percentage","10.4",""
"Females","Euro area (19 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.2",""
"Females","Euro area (19 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.5",""
"Females","Euro area (19 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.2",""
"Females","Euro area (19 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.8",""
"Females","Euro area (19 countries)","2012","From 15 to 64 years","No response","Percentage","10.2",""
"Females","Euro area (19 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.2",""
"Females","Euro area (19 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","36.9",""
"Females","Euro area (19 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.0",""
"Females","Euro area (19 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.5",""
"Females","Euro area (19 countries)","2013","From 15 to 64 years","No response","Percentage","13.0",""
"Females","Euro area (19 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.7",""
"Females","Euro area (19 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","36.0","b"
"Females","Euro area (19 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.4","b"
"Females","Euro area (19 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.6","b"
"Females","Euro area (19 countries)","2014","From 15 to 64 years","No response","Percentage","26.3","b"
"Females","Euro area (19 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","59.4",""
"Females","Euro area (19 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","36.2",""
"Females","Euro area (19 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.8",""
"Females","Euro area (19 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.1",""
"Females","Euro area (19 countries)","2015","From 15 to 64 years","No response","Percentage","28.0",""
"Females","Euro area (18 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","54.4",""
"Females","Euro area (18 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.0",""
"Females","Euro area (18 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.3",""
"Females","Euro area (18 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.1",""
"Females","Euro area (18 countries)","2004","From 15 to 64 years","No response","Percentage","42.1",""
"Females","Euro area (18 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.5",""
"Females","Euro area (18 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.7","b"
"Females","Euro area (18 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.9","b"
"Females","Euro area (18 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.3","b"
"Females","Euro area (18 countries)","2005","From 15 to 64 years","No response","Percentage","15.9","b"
"Females","Euro area (18 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.7",""
"Females","Euro area (18 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.5",""
"Females","Euro area (18 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.1",""
"Females","Euro area (18 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.0",""
"Females","Euro area (18 countries)","2006","From 15 to 64 years","No response","Percentage","18.6",""
"Females","Euro area (18 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.8",""
"Females","Euro area (18 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","39.2",""
"Females","Euro area (18 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.1",""
"Females","Euro area (18 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.8",""
"Females","Euro area (18 countries)","2007","From 15 to 64 years","No response","Percentage","20.7",""
"Females","Euro area (18 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.5",""
"Females","Euro area (18 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","39.2",""
"Females","Euro area (18 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.7",""
"Females","Euro area (18 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.3",""
"Females","Euro area (18 countries)","2008","From 15 to 64 years","No response","Percentage","25.0",""
"Females","Euro area (18 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.1",""
"Females","Euro area (18 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.1",""
"Females","Euro area (18 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.2",""
"Females","Euro area (18 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.7",""
"Females","Euro area (18 countries)","2009","From 15 to 64 years","No response","Percentage","25.4",""
"Females","Euro area (18 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.9",""
"Females","Euro area (18 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.6",""
"Females","Euro area (18 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.8",""
"Females","Euro area (18 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.2",""
"Females","Euro area (18 countries)","2010","From 15 to 64 years","No response","Percentage","22.0",""
"Females","Euro area (18 countries)","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.2",""
"Females","Euro area (18 countries)","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.2",""
"Females","Euro area (18 countries)","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.6",""
"Females","Euro area (18 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.2",""
"Females","Euro area (18 countries)","2011","From 15 to 64 years","No response","Percentage","10.4",""
"Females","Euro area (18 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.2",""
"Females","Euro area (18 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.6",""
"Females","Euro area (18 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.3",""
"Females","Euro area (18 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.7",""
"Females","Euro area (18 countries)","2012","From 15 to 64 years","No response","Percentage","10.2",""
"Females","Euro area (18 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.2",""
"Females","Euro area (18 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.0",""
"Females","Euro area (18 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.1",""
"Females","Euro area (18 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.4",""
"Females","Euro area (18 countries)","2013","From 15 to 64 years","No response","Percentage","13.0",""
"Females","Euro area (18 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.6",""
"Females","Euro area (18 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","36.0","b"
"Females","Euro area (18 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.5","b"
"Females","Euro area (18 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.5","b"
"Females","Euro area (18 countries)","2014","From 15 to 64 years","No response","Percentage","26.3","b"
"Females","Euro area (18 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","59.3",""
"Females","Euro area (18 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","36.3",""
"Females","Euro area (18 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.8",""
"Females","Euro area (18 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.0",""
"Females","Euro area (18 countries)","2015","From 15 to 64 years","No response","Percentage","28.0",""
"Females","Euro area (17 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","54.4",""
"Females","Euro area (17 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.1",""
"Females","Euro area (17 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.3",""
"Females","Euro area (17 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.1",""
"Females","Euro area (17 countries)","2004","From 15 to 64 years","No response","Percentage","42.1",""
"Females","Euro area (17 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.4",""
"Females","Euro area (17 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.7","b"
"Females","Euro area (17 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.9","b"
"Females","Euro area (17 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.3","b"
"Females","Euro area (17 countries)","2005","From 15 to 64 years","No response","Percentage","15.9","b"
"Females","Euro area (17 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.6",""
"Females","Euro area (17 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.5",""
"Females","Euro area (17 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.1",""
"Females","Euro area (17 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.0",""
"Females","Euro area (17 countries)","2006","From 15 to 64 years","No response","Percentage","18.6",""
"Females","Euro area (17 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.8",""
"Females","Euro area (17 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","39.2",""
"Females","Euro area (17 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.1",""
"Females","Euro area (17 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.7",""
"Females","Euro area (17 countries)","2007","From 15 to 64 years","No response","Percentage","20.5",""
"Females","Euro area (17 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.5",""
"Females","Euro area (17 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","39.2",""
"Females","Euro area (17 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.7",""
"Females","Euro area (17 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.2",""
"Females","Euro area (17 countries)","2008","From 15 to 64 years","No response","Percentage","25.0",""
"Females","Euro area (17 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.0",""
"Females","Euro area (17 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.1",""
"Females","Euro area (17 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.2",""
"Females","Euro area (17 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.6",""
"Females","Euro area (17 countries)","2009","From 15 to 64 years","No response","Percentage","25.4",""
"Females","Euro area (17 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.9",""
"Females","Euro area (17 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.7",""
"Females","Euro area (17 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.8",""
"Females","Euro area (17 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.2",""
"Females","Euro area (17 countries)","2010","From 15 to 64 years","No response","Percentage","22.0",""
"Females","Euro area (17 countries)","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.2",""
"Females","Euro area (17 countries)","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","38.2",""
"Females","Euro area (17 countries)","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.7",""
"Females","Euro area (17 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.1",""
"Females","Euro area (17 countries)","2011","From 15 to 64 years","No response","Percentage","10.3",""
"Females","Euro area (17 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.1",""
"Females","Euro area (17 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.7",""
"Females","Euro area (17 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.4",""
"Females","Euro area (17 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.7",""
"Females","Euro area (17 countries)","2012","From 15 to 64 years","No response","Percentage","10.2",""
"Females","Euro area (17 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.1",""
"Females","Euro area (17 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","37.0",""
"Females","Euro area (17 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.1",""
"Females","Euro area (17 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.3",""
"Females","Euro area (17 countries)","2013","From 15 to 64 years","No response","Percentage","13.0",""
"Females","Euro area (17 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.6",""
"Females","Euro area (17 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","36.1","b"
"Females","Euro area (17 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.5","b"
"Females","Euro area (17 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.5","b"
"Females","Euro area (17 countries)","2014","From 15 to 64 years","No response","Percentage","26.2","b"
"Females","Euro area (17 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","59.3",""
"Females","Euro area (17 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","36.3",""
"Females","Euro area (17 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.8",""
"Females","Euro area (17 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.0",""
"Females","Euro area (17 countries)","2015","From 15 to 64 years","No response","Percentage","27.8",""
"Females","Belgium","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","53.0",""
"Females","Belgium","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","31.0",""
"Females","Belgium","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","56.0",""
"Females","Belgium","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.4",""
"Females","Belgium","2004","From 15 to 64 years","No response","Percentage",":",""
"Females","Belgium","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","53.8",""
"Females","Belgium","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","29.8","b"
"Females","Belgium","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","57.4","b"
"Females","Belgium","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.4","b"
"Females","Belgium","2005","From 15 to 64 years","No response","Percentage",":","bu"
"Females","Belgium","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","54.0",""
"Females","Belgium","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","30.1",""
"Females","Belgium","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","56.6",""
"Females","Belgium","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.2",""
"Females","Belgium","2006","From 15 to 64 years","No response","Percentage",":","u"
"Females","Belgium","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.3",""
"Females","Belgium","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","31.1",""
"Females","Belgium","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","57.3",""
"Females","Belgium","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","80.9",""
"Females","Belgium","2007","From 15 to 64 years","No response","Percentage",":","c"
"Females","Belgium","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.2",""
"Females","Belgium","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","31.0","b"
"Females","Belgium","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","59.0","b"
"Females","Belgium","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","80.1","b"
"Females","Belgium","2008","From 15 to 64 years","No response","Percentage",":",""
"Females","Belgium","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.0",""
"Females","Belgium","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","30.1",""
"Females","Belgium","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","58.2",""
"Females","Belgium","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.4",""
"Females","Belgium","2009","From 15 to 64 years","No response","Percentage",":",""
"Females","Belgium","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.5",""
"Females","Belgium","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","30.8",""
"Females","Belgium","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","58.2",""
"Females","Belgium","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.5",""
"Females","Belgium","2010","From 15 to 64 years","No response","Percentage",":",""
"Females","Belgium","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.7",""
"Females","Belgium","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","30.0","b"
"Females","Belgium","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","58.5","b"
"Females","Belgium","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.7","b"
"Females","Belgium","2011","From 15 to 64 years","No response","Percentage",":",""
"Females","Belgium","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.8",""
"Females","Belgium","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","29.8",""
"Females","Belgium","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","57.9",""
"Females","Belgium","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.5",""
"Females","Belgium","2012","From 15 to 64 years","No response","Percentage",":",""
"Females","Belgium","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.2",""
"Females","Belgium","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","29.9",""
"Females","Belgium","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","58.9",""
"Females","Belgium","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.4",""
"Females","Belgium","2013","From 15 to 64 years","No response","Percentage",":",""
"Females","Belgium","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.9",""
"Females","Belgium","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","30.1","b"
