SEX,GEO,AGE,N_CHILD,AGECHILD,ISCED11,TIME,Value,FlagandFootnotes
Females,Euro area (18 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,69.8,
Females,Euro area (18 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,61.5,
Females,Euro area (18 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,62,b
Females,Euro area (18 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,63,
Females,Euro area (18 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Females,Euro area (18 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Females,Euro area (18 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Females,Euro area (18 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Females,Euro area (18 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Females,Euro area (18 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Females,Euro area (18 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Females,Euro area (18 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Females,Euro area (18 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Females,Euro area (18 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,67.1,
Females,Euro area (18 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,67.7,b
Females,Euro area (18 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,68.1,
Females,Euro area (18 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,65.3,
Females,Euro area (18 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,66.6,b
Females,Euro area (18 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,65.8,
Females,Euro area (18 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,69.1,
Females,Euro area (18 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,68.6,b
Females,Euro area (18 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,70,
Females,Euro area (18 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,67.6,
Females,Euro area (18 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,68.1,b
Females,Euro area (18 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,68.7,
Females,Euro area (18 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,67.1,
Females,Euro area (18 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,68,b
Females,Euro area (18 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,68.6,
Females,Euro area (18 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,60.8,
Females,Euro area (18 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,62.3,b
Females,Euro area (18 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,63.7,
Females,Euro area (18 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,70.5,
Females,Euro area (18 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,71.7,b
Females,Euro area (18 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,71.2,
Females,Euro area (18 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,72.3,
Females,Euro area (18 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,71.8,b
Females,Euro area (18 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,72.4,
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,54.3,
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,55,b
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,54.6,
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,45.8,
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,45.9,b
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,45.4,
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,61.7,
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,63.3,b
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,63.7,
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,70.5,
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,70.2,b
Females,Euro area (18 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,69.1,
Females,Euro area (17 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,63.3,
Females,Euro area (17 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,63.9,b
Females,Euro area (17 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,64.6,
Females,Euro area (17 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,59.9,
Females,Euro area (17 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,61.1,b
Females,Euro area (17 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,61.2,
Females,Euro area (17 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,68.6,
Females,Euro area (17 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,69.2,b
Females,Euro area (17 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,69.5,
Females,Euro area (17 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,69,
Females,Euro area (17 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,69.2,b
Females,Euro area (17 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,69.7,
Females,Euro area (17 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,61.5,
Females,Euro area (17 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,61.9,b
Females,Euro area (17 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,62.9,
Females,Euro area (17 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Females,Euro area (17 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Females,Euro area (17 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Females,Euro area (17 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Females,Euro area (17 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Females,Euro area (17 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Females,Euro area (17 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Females,Euro area (17 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Females,Euro area (17 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Females,Euro area (17 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,67.1,
Females,Euro area (17 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,67.7,b
Females,Euro area (17 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,68,
Females,Euro area (17 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,65.3,
Females,Euro area (17 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,66.6,b
Females,Euro area (17 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,65.8,
Females,Euro area (17 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,69,
Females,Euro area (17 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,68.5,b
Females,Euro area (17 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,69.9,
Females,Euro area (17 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,67.5,
Females,Euro area (17 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,68,b
Females,Euro area (17 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,68.6,
Females,Euro area (17 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,67.1,
Females,Euro area (17 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,68,b
Females,Euro area (17 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,68.5,
Females,Euro area (17 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,60.7,
Females,Euro area (17 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,62.3,b
Females,Euro area (17 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,63.6,
Females,Euro area (17 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,70.5,
Females,Euro area (17 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,71.7,b
Females,Euro area (17 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,71.2,
Females,Euro area (17 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,72.2,
Females,Euro area (17 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,71.8,b
Females,Euro area (17 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,72.3,
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,54.3,
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,54.9,b
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,54.5,
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,45.8,
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,45.8,b
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,45.3,
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,61.6,
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,63.3,b
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,63.7,
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,70.5,
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,70.2,b
Females,Euro area (17 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,69,
Females,Belgium,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,64.2,
Females,Belgium,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,64.9,b
Females,Belgium,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,65,
Females,Belgium,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,66.8,
Females,Belgium,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,68.1,b
Females,Belgium,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,67.4,
Females,Belgium,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,75.5,
Females,Belgium,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,74.7,b
Females,Belgium,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,74.6,
Females,Belgium,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,73.5,
Females,Belgium,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,73.9,b
Females,Belgium,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,74.1,
Females,Belgium,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,57.4,
Females,Belgium,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,58.2,b
Females,Belgium,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,58.7,
Females,Belgium,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Females,Belgium,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Females,Belgium,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Females,Belgium,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Females,Belgium,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Females,Belgium,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Females,Belgium,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Females,Belgium,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Females,Belgium,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Females,Belgium,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,71.5,
Females,Belgium,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,72.3,b
Females,Belgium,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,72.2,
Females,Belgium,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,70.2,
Females,Belgium,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,73.9,b
Females,Belgium,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,72.2,
Females,Belgium,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,74.4,
Females,Belgium,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,72.8,b
Females,Belgium,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,71.9,
Females,Belgium,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,71.5,
Females,Belgium,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,71,b
Females,Belgium,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,72.3,
Females,Belgium,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,77.1,
Females,Belgium,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,77,b
Females,Belgium,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,77.3,
Females,Belgium,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,73.5,
Females,Belgium,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,73.2,b
Females,Belgium,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,73.2,
Females,Belgium,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,80.3,
Females,Belgium,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,79.4,b
Females,Belgium,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,81.3,
Females,Belgium,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,79,
Females,Belgium,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,79.4,b
Females,Belgium,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,78.9,
Females,Belgium,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,58.1,
Females,Belgium,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,60.1,b
Females,Belgium,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,58.4,
Females,Belgium,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,50.3,
Females,Belgium,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,50.2,b
Females,Belgium,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,50.6,
Females,Belgium,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,67.2,
Females,Belgium,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,68.1,b
Females,Belgium,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,65,
Females,Belgium,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,65.4,
Females,Belgium,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,72.7,b
Females,Belgium,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,68.6,
Females,Bulgaria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,62,
Females,Bulgaria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,63.2,b
Females,Bulgaria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,65.7,
Females,Bulgaria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,50.3,
Females,Bulgaria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,54,b
Females,Bulgaria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,53.7,
Females,Bulgaria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,70.2,
Females,Bulgaria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,70,b
Females,Bulgaria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,66.9,
Females,Bulgaria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,75.8,
Females,Bulgaria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,77.3,b
Females,Bulgaria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,78.7,
Females,Bulgaria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,59.5,
Females,Bulgaria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,60.3,b
Females,Bulgaria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,65.2,
Females,Bulgaria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Females,Bulgaria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Females,Bulgaria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Females,Bulgaria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Females,Bulgaria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Females,Bulgaria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Females,Bulgaria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Females,Bulgaria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Females,Bulgaria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Females,Bulgaria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,68.3,
Females,Bulgaria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,70.8,b
Females,Bulgaria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,70.8,
Females,Bulgaria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,52.8,
Females,Bulgaria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,58.5,b
Females,Bulgaria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,57.7,
Females,Bulgaria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,71.4,
Females,Bulgaria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,71.8,b
Females,Bulgaria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,70.9,
Females,Bulgaria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,76.1,
Females,Bulgaria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,77.5,b
Females,Bulgaria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,79.5,
Females,Bulgaria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,65.6,
Females,Bulgaria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,65.3,b
Females,Bulgaria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,64.3,
Females,Bulgaria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,53.9,
Females,Bulgaria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,54.1,b
Females,Bulgaria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,55.4,
Females,Bulgaria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,72.7,
Females,Bulgaria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,71.8,b
Females,Bulgaria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,65.4,
Females,Bulgaria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,75.2,
Females,Bulgaria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,78.2,b
Females,Bulgaria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,77,
Females,Bulgaria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,29.3,
Females,Bulgaria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,35.4,b
Females,Bulgaria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,34.6,
Females,Bulgaria,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,21.1,u
Females,Bulgaria,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,31.5,bu
Females,Bulgaria,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,31.2,u
Females,Bulgaria,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,:,u
Females,Bulgaria,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,42.7,bu
Females,Bulgaria,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,41.1,u
Females,Bulgaria,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,:,u
Females,Bulgaria,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,:,bu
Females,Bulgaria,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,:,u
Females,Czech Republic,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,66.3,
Females,Czech Republic,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,67.4,b
Females,Czech Republic,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,68.8,
Females,Czech Republic,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,42.1,
Females,Czech Republic,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,44.3,b
Females,Czech Republic,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,43,
Females,Czech Republic,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,83.7,
Females,Czech Republic,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,83.7,b
Females,Czech Republic,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,82.6,
Females,Czech Republic,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,87.7,
Females,Czech Republic,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,88.8,b
Females,Czech Republic,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,89,
Females,Czech Republic,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,65.1,
Females,Czech Republic,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,66.5,b
Females,Czech Republic,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,69.3,
Females,Czech Republic,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Females,Czech Republic,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Females,Czech Republic,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Females,Czech Republic,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Females,Czech Republic,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Females,Czech Republic,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Females,Czech Republic,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Females,Czech Republic,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Females,Czech Republic,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Females,Czech Republic,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,70,
Females,Czech Republic,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,69.4,b
Females,Czech Republic,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,70.2,
Females,Czech Republic,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,40,
Females,Czech Republic,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,42,b
Females,Czech Republic,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,40.7,
Females,Czech Republic,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,81.8,
Females,Czech Republic,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,81.9,b
Females,Czech Republic,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,80.1,
Females,Czech Republic,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,87,
Females,Czech Republic,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,87.1,b
Females,Czech Republic,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,87.7,
Females,Czech Republic,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,68.1,
Females,Czech Republic,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,70.5,b
